created_at,display_name,followers,friends,handler_name,likes,retweets,text,user_description,user_location
2019-04-01 12:15:59,🇮🇳 Shakira ❣️❣️❣️,107.0,185.0,Shakira11th,0.0,5.0,"RT @MamuPolitical: #AprilFools #ModiMatBanao 
Lets Meet our Communal PM
NARENDRA MODI ie #chowkidar https://t.co/28zNOP7C1I","हमारे ख्यालात बदल सकते हैं!
विचारधाराएं अलग अलग हो सकती हैं!
लेकिन देश हमारा एक ही है।
हम इसी मिट्टी से जुड़े हैं 🇮🇳 JAI BHARAT 🇮🇳",
2019-04-01 12:15:57,Shweta Gulati,221.0,130.0,ShwetaG09,0.0,1287.0,"RT @dhruv_rathee: ""We never said we will jail Robert Vadra""
""We said we will jail corrupts""
""Robert Vadra did rampant corruption"" 

Khud hi…",HAPPINESS is in ATTITUDE,
2019-04-01 12:15:57,Satvahana,172.0,167.0,Satvahana,0.0,48.0,"RT @INCChhattisgarh: हम बात कर रहे हैं, भारतीय संविधान की
वो बात कर रहे हैं, हिन्दू- मुसलमान की

हम बात कर रहे हैं, भूखों और नंगों की
वो बा…","“The way is shut. It was made by those who are Dead, and the Dead keep it, until the time comes. The way is shut.”",Somewhere
2019-04-01 12:15:57,SarcasticBro,29.0,419.0,sarcasticbro89,0.0,1287.0,"RT @dhruv_rathee: ""We never said we will jail Robert Vadra""
""We said we will jail corrupts""
""Robert Vadra did rampant corruption"" 

Khud hi…",Listen and Speak,India
2019-04-01 12:15:53,Being Human,72.0,363.0,onlineshaktiman,0.0,1287.0,RT @divyaspandana: It’s April 1st Mitron. #ModiMatBanao https://t.co/Ywmx1tVD0J,| Entire political science |,
2019-04-01 12:15:53,H.K. Dhanraj,0.0,18.0,HKDhanraj1,0.0,1287.0,"RT @dhruv_rathee: ""We never said we will jail Robert Vadra""
""We said we will jail corrupts""
""Robert Vadra did rampant corruption"" 

Khud hi…",Never give up,
2019-04-01 12:15:48,R Shikhar #NYAYForIndia,1844.0,826.0,ShikharKaushik3,0.0,0.0,"मोदी जी का कार्यकाल केवल विफलताओं का कार्यकाल बन चुका है ,जहाँ मोदी जी अपने ही किये वादों से हरपल मुकरते नजर आते है… https://t.co/PZm4bCeieL",INC,Janjgir champa 
2019-04-01 12:15:47,ZeyaEqubal,573.0,610.0,ZeyaEqubal,0.0,134.0,"RT @INCMaharashtra: Black money is still missing, Nirav Modi has still not been brought to justice &amp; the youth are still looking for jobs.…",,"Bettiah, West Champaran, Bihar"
2019-04-01 12:15:44,Manohar Rawat,119.0,190.0,Manohar39845107,0.0,158.0,"RT @INCMP: जुमलेबाजी के पाँच साल :

मोदी जी ने चुनाव के पहले बड़े-बड़े वादे किये, और सरकार बनाकर कहने लगे “वो सब तो जुमला था”..!
—आज पूरा…",A worker of congress party,Manasa 
2019-04-01 12:15:43,vinayak lata,11.0,13.0,vinayaklata,0.0,4.0,RT @Aditya_kr5: सरकार लूट खसोट वाली करोड़ों की योजनाएं लागू करने में नही  हिचकती और उसे 30 से 35 साल की सेवा के बाद सरकारी कर्मचारियों को…,,"Nagpur, Maharashtra"
2019-04-01 12:15:42,MOHAMMAD TARIQUE KHAN,27.0,56.0,mohdtarique1994,0.0,1287.0,"RT @dhruv_rathee: ""We never said we will jail Robert Vadra""
""We said we will jail corrupts""
""Robert Vadra did rampant corruption"" 

Khud hi…",Life is all about loving whatever you have.....,"BHOPAL,INDIA"
2019-04-01 12:15:39,Rofl Republic,13324.0,390.0,i_theindian,0.0,0.0,"@priyankac19 Facebook takes down 11,000 propoganda ads by Helo, owned by a Chinese  company which was promoting BJP… https://t.co/5bIqK97UHW","Proud to be NOT followed by Narendra Modi. 

#हिंदू_हूँ_संघी_नहीं",जय हिन्द 🇮🇳
2019-04-01 12:15:39,ZeyaEqubal,573.0,610.0,ZeyaEqubal,0.0,305.0,"RT @keshavyadaviyc: Isn't this the perfect time to go through the manifesto of BJP government who fooled us for 5 years. 
Let's fool them t…",,"Bettiah, West Champaran, Bihar"
2019-04-01 12:15:37,Selvin Thomas,135.0,1270.0,heartindia_,0.0,85.0,"RT @JhaSanjay: Never forget this, Jab Bhi #MuhKholaJhoothBola . This is the legacy of #Modi. #ModiMatBanao","Proud Indian.....#Congressi.                                         

RT not endorsement","Kerala,India"
2019-04-01 12:15:37,Devender Yadav(Rj Dev),13328.0,2352.0,rjdevenderkumar,0.0,0.0,"गंगा साफ होगी कहा था,
बैंक साफ करा दिया।

राम मंदिर बनेगा कहा था,
करोड़ो का भव्य भाजपा कार्यालय बना दिया।

और सुनिए… https://t.co/8PFSFDyKOM","Social Media & It Cell Coordinator,AAP Rajasthan||प्रदेश सोशल मीडिया & It सेल प्रभारी-आप राजस्थान","Jaipur, India"
2019-04-01 12:15:36,Sudarshan,312.0,267.0,Sudarsh78723004,0.0,73.0,"RT @DesiPoliticks: #ModiMatBanao मित्रों! लगातार 5 सालो से डिमांड उठ रही है कि १ अप्रैल को फेकु दिवस घोषीत कर दिया जाये ?

पन्द्रहलाखा, दे…",,
2019-04-01 12:15:36,Ujwal Acharya,50.0,180.0,UjwalAcharya07,0.0,0.0,@sambitswaraj Modi hides statistics but fact is that number of radical Hindus in Yogi's Hindu Yuva Vahni &amp; VHP who… https://t.co/D5QDJEJjv9,"Music Junkie, Composer, Writer, Editor!","Amritsar, India"
