Job_url,Job_id,Job_title,Company,Key_skill,Location,Salary,Date
https://www.naukri.com/job-listings-Data-Scientist-Data-Science-Trainer-for-Weekend-freelance-Basis-QuickXpert-Infotech-Mumbai-Navi-Mumbai-Thane-3-to-8-years-250219001537?src=jobsearchDesk&sid=15518446024382&xp=19&px=1,250219001537,"Data Scientist, Data Science Trainer for Weekend/freelance Basis",QuickXpert Infotech,"machine learning, artificial intelligence, artificial bi, ai, ml...","Mumbai, Navi Mumbai, Thane",Not disclosed,4 days ago
https://www.naukri.com/job-listings-Data-Science-jupyter-azure-Ml-matlab-Accenture-Bengaluru-2-to-5-years-200219900928?src=jobsearchDesk&sid=15518446024382&xp=20&px=1,200219900928,Data Science (jupyter/azure Ml/matlab),Accenture,"Python, MATLAB, Data mining, Machine learning, Outsourcing...",Bengaluru,Not disclosed,13 days ago
https://www.naukri.com/job-listings-Data-Scientist-data-Science-Trainer-Emerging-India-Delhi-NCR-Noida-3-to-8-years-220219005029?src=jobsearchDesk&sid=15518446024382&xp=21&px=1,220219005029,Data Scientist/data Science Trainer,Emerging India,"deep learning, r, nosql, data science, nlp, sql, python, machine learning...","Delhi NCR, Noida","6,00,000 - 10,00,000 P.A.",12 days ago
https://www.naukri.com/job-listings-Lead-Consultant-Data-Science-Allstate-Solutions-Private-Limited-Bengaluru-6-to-8-years-270219904505?src=jobsearchDesk&sid=15518446024382&xp=22&px=1,270219904505,Lead Consultant - Data Science,Allstate Solutions Private Limited,"Hadoop, Hive, Deep Learning, R, Text Mining, Mapreduce, Data Science...",Bengaluru,Not disclosed,6 days ago
https://www.naukri.com/job-listings-Data-Science-Engineer-Fidel-Softech-Pvt-Ltd-Japan-3-to-7-years-010319003738?src=jobsearchDesk&sid=15518446024382&xp=23&px=1,010319003738,Data Science Engineer,Fidel Softech Pvt. Ltd,"data science, elixir, python, scala, Data Visualization, Data Warehousing...",Japan,Not disclosed,5 days ago
https://www.naukri.com/job-listings-Data-Science-Engineer-AWS-Certified-Search-Folks-Bengaluru-5-to-10-years-270219904274?src=jobsearchDesk&sid=15518446024382&xp=24&px=1,270219904274,Data Science Engineer - AWS Certified,Search Folks,"Spark, Hive, Oozie, Sqoop, SCALA, Big Data, Elastic Search, Java...",Bengaluru,Not disclosed,5 days ago
https://www.naukri.com/job-listings-Lead-Consultant-Data-Science-Allstate-Solutions-Private-Limited-Bengaluru-6-to-8-years-270219904504?src=jobsearchDesk&sid=15518446024382&xp=25&px=1,270219904504,Lead Consultant - Data Science,Allstate Solutions Private Limited,"Hadoop, Hive, Deep Learning, R, Text Mining, Mapreduce, Data Science...",Bengaluru,Not disclosed,6 days ago
https://www.naukri.com/job-listings-Senior-Data-Science-Engineer-Dataone-Ahmedabad-4-to-7-years-210219006647?src=jobsearchDesk&sid=15518446024382&xp=26&px=1,210219006647,Senior Data Science Engineer,Dataone,"Data Science, Machine Learning, Open Source",Ahmedabad,Not disclosed,13 days ago
https://www.naukri.com/job-listings-Data-Science-spark-Developer-Machine-Learning-r-python-Cognizant-Hyderabad-Chennai-3-to-6-years-260219006665?src=jobsearchDesk&sid=15518446024382&xp=27&px=1,260219006665,Data Science/spark Developer - Machine Learning/r/python,Cognizant,"Data Science, Machine Learning, Python, R, Spark, Spark Developer","Hyderabad, Chennai",Not disclosed,5 days ago
https://www.naukri.com/job-listings-Asic-soc-Verification-Experts-in-Ie-s-net-angular-data-Science-java-rp-consultant-Bengaluru-Chennai-Hyderabad-5-to-10-years-270219000191?src=jobsearchDesk&sid=15518446024382&xp=28&px=1,270219000191,"Asic/soc Verification Experts in Ie&s,.net/angular,data Science,java",rp consultant,".net, java, cloud, devops, hadoop, asic / soc verification experts, vmware,...","Bengaluru, Chennai, Hyderabad","12,00,000 - 22,00,000 P.A.",7 days ago
https://www.naukri.com/job-listings-Chief-Intelligence-Officer-Data-Science-Analytics-TalPro-Delhi-NCR-Mumbai-Bengaluru-Gurgaon-8-to-12-years-270219002811?src=jobsearchDesk&sid=15518446024382&xp=29&px=1,270219002811,Chief Intelligence Officer - Data Science & Analytics,TalPro,"Machine Learning, Web Technologies, Chief Intelligence Officer, Analytics...","Delhi NCR, Mumbai, Bengaluru, Gurgaon",Not disclosed,7 days ago
https://www.naukri.com/job-listings-Data-Science-Manager-Ziploan-Blue-Jay-Finlease-Limited-Delhi-NCR-8-to-12-years-270219004361?src=jobsearchDesk&sid=15518446024382&xp=30&px=1,270219004361,Data Science Manager || Ziploan,Blue Jay Finlease Limited,"Data Science, Machine Learning, Python, R, SQL, Data Warehousing, Technical...",Delhi NCR,"20,00,000 - 35,00,000 P.A.",5 days ago
https://www.naukri.com/job-listings-Associate-Data-Science-Consultant-AXA-Business-Services-Pvt-Ltd-Bengaluru-3-to-5-years-250219002649?src=jobsearchDesk&sid=15518446024382&xp=31&px=1,250219002649,Associate Data Science Consultant,AXA Business Services Pvt Ltd,"Text Mining, Data Science, Java, Machine Learning, Python...",Bengaluru,Not disclosed,9 days ago
https://www.naukri.com/job-listings-Sr-Manager-Data-Science-Crosstab-IT-Consulting-Bengaluru-14-to-18-years-010319903158?src=jobsearchDesk&sid=15518446024382&xp=32&px=1,010319903158,Sr. Manager Data Science,Crosstab IT Consulting,"ML, AI, Python, R, Data Science, AI / ML Research., Manager Data Science...",Bengaluru,Not disclosed,1 day ago
https://www.naukri.com/job-listings-Data-Science-Developer-Analytics-alteryx-TalentStack-The-Hiring-Story-Mumbai-3-to-7-years-020319001085?src=jobsearchDesk&sid=15518446024382&xp=33&px=1,020319001085,Data Science Developer - Analytics/alteryx,TalentStack/ The Hiring Story,"sql database, r, analytics, macros, time series analysis, ms access...",Mumbai,Not disclosed,1 day ago
https://www.naukri.com/job-listings-Business-Analyst-Asst-Manager-Global-Commercial-Data-Sciences-American-Express-Company-Gurgaon-0-to-3-years-040319500081?src=jobsearchDesk&sid=15518446024382&xp=34&px=1,040319500081,Business Analyst/ Asst. Manager - Global Commercial Data Sciences,American Express Company,"Unix, Monitoring, Python, Analytics, Machine learning, Predictive modeling,...",Gurgaon,Not disclosed,2 days ago
https://www.naukri.com/job-listings-Lead-Data-Science-Asterion-Consulting-Pvt-Ltd-Bengaluru-4-to-8-years-210219007404?src=jobsearchDesk&sid=15518446024382&xp=35&px=1,210219007404,Lead - Data Science,Asterion Consulting Pvt. Ltd,"deep learning, text mining, data science, hive, machine learning, r, python...",Bengaluru,Not disclosed,1 day ago
